date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:50:22	162/162	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Jan%202014%2011:50:22%20GMT	http://v3.bootcss.com/robots.txt		(from )
19:50:22	6865/6865	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Jan%202014%2005:17:43%20GMT	http://v3.bootcss.com/	e:/My%20Websites/111/v3.bootcss.com/index.html	(from )
19:50:23	99548/99548	---MCZ	200	added ('OK')	text/css	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/dist/css/bootstrap.min.css	e:/My%20Websites/111/v3.bootcss.com/dist/css/bootstrap.min.css	(from http://v3.bootcss.com/)
19:50:24	72798/72798	---MCZ	200	added ('OK')	text/css	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/docs-assets/css/docs.css	e:/My%20Websites/111/v3.bootcss.com/docs-assets/css/docs.css	(from http://v3.bootcss.com/)
19:50:24	1290/1290	---MCZ	200	added ('OK')	text/css	date:Fri,%2013%20Dec%202013%2019:44:15%20GMT	http://cdn.bootcss.com/highlight.js/7.3/styles/github.min.css	e:/My%20Websites/111/cdn.bootcss.com/highlight.js/7.3/styles/github.min.css	(from http://v3.bootcss.com/)
19:50:25	3549/3549	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/docs-assets/ico/apple-touch-icon-144-precomposed.png	e:/My%20Websites/111/v3.bootcss.com/docs-assets/ico/apple-touch-icon-144-precomposed.png	(from http://v3.bootcss.com/)
19:50:25	887/887	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/docs-assets/ico/favicon.png	e:/My%20Websites/111/v3.bootcss.com/docs-assets/ico/favicon.png	(from http://v3.bootcss.com/)
19:50:25	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Jan%202014%2011:50:25%20GMT	http://v3.bootcss.com/getting-started	e:/My%20Websites/111/v3.bootcss.com/getting-started	(from http://v3.bootcss.com/)
19:50:25	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Jan%202014%2011:50:25%20GMT	http://v3.bootcss.com/css	e:/My%20Websites/111/v3.bootcss.com/css	(from http://v3.bootcss.com/)
19:50:25	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Jan%202014%2011:50:25%20GMT	http://v3.bootcss.com/components	e:/My%20Websites/111/v3.bootcss.com/components	(from http://v3.bootcss.com/)
19:50:26	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Jan%202014%2011:50:26%20GMT	http://v3.bootcss.com/javascript	e:/My%20Websites/111/v3.bootcss.com/javascript	(from http://v3.bootcss.com/)
19:50:26	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Jan%202014%2011:50:26%20GMT	http://v3.bootcss.com/customize	e:/My%20Websites/111/v3.bootcss.com/customize.9.delayed	(from http://v3.bootcss.com/)
19:50:26	63266/63266	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Jan%202014%2006:44:39%20GMT	http://v3.bootcss.com/getting-started/	e:/My%20Websites/111/v3.bootcss.com/getting-started/index.html	(from http://v3.bootcss.com/)
